year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,12,AX,Trans States Airlines,FSD,"Sioux Falls, SD: Joe Foss Field",35.0,12.0,2.99,1.01,1.58,0.0,6.42,0.0,0.0,1684.0,188.0,794.0,113.0,0.0,589.0
2011,8,CO,Continental Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",115.0,17.0,5.98,0.0,9.54,0.0,1.48,5.0,1.0,667.0,149.0,0.0,456.0,0.0,62.0
2011,9,YV,Mesa Airlines Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",18.0,2.0,1.0,0.0,0.01,0.0,0.99,0.0,0.0,133.0,42.0,0.0,1.0,0.0,90.0
2012,9,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",141.0,66.0,22.98,2.28,20.35,0.0,20.39,9.0,0.0,3680.0,1359.0,97.0,631.0,0.0,1593.0
2022,5,G7,GoJet Airlines LLC d/b/a United Express,TVC,"Traverse City, MI: Cherry Capital",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,7,OH,Comair Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",155.0,33.0,12.06,5.53,14.41,0.0,1.0,1.0,1.0,1908.0,356.0,562.0,921.0,0.0,69.0
2011,10,OO,SkyWest Airlines Inc.,RDM,"Bend/Redmond, OR: Roberts Field",279.0,26.0,4.42,0.0,4.9,0.0,16.67,3.0,0.0,1082.0,128.0,0.0,174.0,0.0,780.0
2015,5,OO,SkyWest Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",334.0,80.0,38.9,3.32,21.46,0.0,16.32,6.0,5.0,4454.0,2420.0,418.0,812.0,0.0,804.0
2011,8,UA,United Air Lines Inc.,OGG,"Kahului, HI: Kahului Airport",206.0,24.0,10.62,0.0,11.46,0.0,1.92,0.0,0.0,869.0,406.0,0.0,280.0,0.0,183.0
2022,6,AS,Alaska Airlines Network,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",60.0,6.0,2.0,0.0,1.11,0.0,2.89,0.0,0.0,168.0,58.0,0.0,24.0,0.0,86.0
2018,4,G4,Allegiant Air,PIT,"Pittsburgh, PA: Pittsburgh International",115.0,30.0,9.47,3.1,2.61,0.0,14.82,1.0,0.0,2245.0,736.0,123.0,106.0,0.0,1280.0
2023,6,UA,United Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",883.0,267.0,115.54,4.4,44.38,0.0,102.68,51.0,1.0,22231.0,9906.0,280.0,1808.0,0.0,10237.0
2015,2,OO,SkyWest Airlines Inc.,DVL,"Devils Lake, ND: Devils Lake Regional",44.0,10.0,1.72,0.0,3.01,0.0,5.27,8.0,1.0,545.0,158.0,0.0,121.0,0.0,266.0
2024,5,F9,Frontier Airlines,MEM,"Memphis, TN: Memphis International",13.0,2.0,0.53,0.0,0.0,0.0,1.47,0.0,0.0,152.0,20.0,0.0,0.0,0.0,132.0
2022,3,AS,Alaska Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",62.0,14.0,6.36,0.86,3.08,0.0,3.7,0.0,0.0,434.0,213.0,55.0,88.0,0.0,78.0
